job_name,comp_name,job_desc,job_tags
外場服務實習生【台菜香檳 - 大直店】,富錦樹文創科技股份有限公司,【關於富錦樹】富錦樹台菜香檳創立於2014年，將台灣料理重新定義的代表作，顛覆人們對於台灣料理只有小籠包和魯肉飯的印象。吃飯不趕上菜速度、不拼酒，而是將台式料理與法國香檳結合。秉持,[]
廣告顧問助理 TV Commercial Intern（實習 / 兼職),Enjoy TV Holding Sdn Bhd,"年3月1日，國有無線電視 Channel105 啟播（緊接在TV3之後）。我們正在尋找一位充滿活力的廣告部銷售助理（實習），來支持我們的廣告銷售團隊！

實習工作內容：
協助準備廣告提案及契約，確保文檔的準確性和","['Google Drive', 'Communication', 'Microsoft Office']"
Socialtech Startup Intern 社群新創學習生/實習生,Hoodily,"Work hands-on on innovative and social-impacting products, from the ground upLearn product management from an 18-year Silicon Valley product veteranBe part of a garage-mode socialtech startup teamLearn agile development, tools, tricks, and project managementLearn to work with UX and engineering to define and build exciting, impactful consumer product featuresLearn UX, create&nbsp;wireframes and&nbsp;mock-upsHelp develop the go-to-mark",[]
高雄-第五屆實習生招募,瑢思行銷有限公司,"聞的真實程度以及如何將破碎訊息歸納整理?在這裡你都會學到。
實戰經歷在這裡，會讓你參與到與客戶的互動以及專案執行，鍛鍊你的行銷基本功。
【我們正在找以下的夥伴們】社群實習生1名・社","['議題設計', '社群行銷', '網路行銷公司實習', '']"
Jodo！行銷、視覺、專案實習生,小行星視覺整合行銷股份有限公司,"嗨，我們是 Jodo！團隊Jodo！官網 ▸ <a href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.jodo.com.tw%2F%3Ffbclid%3DIwAR2KhbqLPfHyJj1OiRXLwUibxoT56LZLx6A_0xHvHVY1jsP33cIGUjkI_ZA&h=AT3vobmtSW0hFmzu9SgeEtyMzqmD2riXbxnXzGjozpDgN1C7gbcy2hxagm6FtlvIs8mD9sF95nsTcMNKsprDfo3II33nnatbR26m6Y-7b6mLits8fzcfRpLoeS8V4NfIhQxc&__tn__=-UK-R&c[0]=AT2lqUpV0uE7ojMQ2g2wfEbqmQp2QGBNQWklwpzT59T3CBQ_52y31BMmGNxOxG3Ju3-ErB0Daw5uHdr_owgp1BxeIY7IyBNc5DA7W7mJjHy-q4mIGc1SnpoOyo7xpWCS8-VGiobczUw3fe7v9Eoh1U9olQb9vEbZYHQtbQ6CloX",[]
內容編輯與小編實習,健康666,"工作內容
• 負責網路健康議題策劃、寫作及編輯，擔任文案編輯，負責公司經營自媒體平台與社群企劃與發想文案。  
• 編寫健康書摘、編輯電子報、寫作生活類型文章等文字編輯類工作。  • 需與醫生配合，改","['photoshop', 'illustrator', 'google drive', '']"
商務開發營運專員 BD&實習生,好課多數位教育股份有限公司,">>商務開發營運專員 BD&實習生: 
 理解公司的客戶發展方向與業務策略，針對知識型行銷業務推廣及企業冠名。",[]
實習記者,MeNews,"你好奇記者的生活嗎？想體驗當記者的工作嗎？以後想進入媒體圈衝鋒陷陣嗎？或是想透過自己的文章讓大眾看到世界的全貌嗎？ 那就加入我們，成為我們的實習記者吧！

你將會經歷到：
撰寫新聞稿","['記者', '撰稿', '新聞', '']"
電控工讀生/實習生,偉勝乾燥工業股份有限公司,職務說明：1.人機介面與PLC程序安裝、測試2.製作測試報告與各類安裝與操作手冊3.基礎配盤、整線與簡易查修工作4.協助電料室管理5.主管交辨事項**歡迎電機電子科系在職學生,"['電控', '工業配電', '人機介面設計', '']"
實習 - 生成式 AI 產品經理實習生 - AI Product Manager (PM) Intern,思邁智能股份有限公司,"▋【關於我們】
思邁智能股份有限公司（MaiAgent Co., Ltd.）是一家由充滿熱情的技術專家創立的公司，專注於軟體開發與系統維運。我們致力於深耕 AI 軟體技術，為公部門、金融業提供先進的 AI 平台，提升用","['產品管理師', '產品企劃', '提案與簡報技巧', '']"
實習 - 生成式 AI 顧問實習生 - AI Consultant Intern,思邁智能股份有限公司,"▋【關於我們】
思邁智能股份有限公司（MaiAgent Co., Ltd.）是一家由充滿熱情的技術專家創立的公司，專注於軟體開發與系統維運。我們致力於深耕 AI 軟體技術，為公部門、金融業提供先進的 AI 平台，提升用","['顧問', '資料科學家', '語言模型', '']"
外籍實習記者,MeNews,"你好奇記者的生活嗎？想體驗記者的工作嗎？以後想進入媒體圈衝鋒陷陣嗎？或是想透過自己的文章讓大眾看到世界的全貌嗎？ 那就加入我們，成為我們的實習記者吧！
你將會經歷到：
撰寫新聞稿蒐","['採訪', '新聞撰寫', '媒體']"
文案編輯與內容實習,FlipWeb數位資產仲介,"工作內容
• 負責部落格內容發想，擔任文案編輯，負責公司經營中的自媒體平台與社群企劃與發想文案。&nbsp;&nbsp;
• 了解社群對產品的期待，有效反應給公司。&nbsp;&nbsp;
• 撰寫中英文文案，於FB、Twitter、SLACK、medium、LINE 等社群上。&nbsp;&nbsp;
• 能判斷客","['文案編輯', '文案', 'SEO', '']"
新聞編輯與內容實習,國際數位資產協會IDAA,"工作內容
• 負責部落格內容發想，擔任文案編輯，負責公司經營中的自媒體平台與社群企劃與發想文案。&nbsp;&nbsp;
• 了解社群對產品的期待，有效反應給公司。&nbsp;&nbsp;
• 撰寫中英文文案，於FB、Twitter、SLACK、medium、LINE 等社群上。&nbsp;&nbsp;
• 能判斷客","['Photoshop', 'Illustrator', 'Outlook', '']"
實習庫存總管,運動筆記,"工作地點靠近師大夜市，每週協助處理商品寄送、庫存清點等事務，工作時間一週平日2-3天，每天3-4小時，工作內容輕鬆單純，但需要細心以及負責任。
如有電商或編輯相關經驗，表現優異都有機",[]
【兼職／實習工讀】行政企劃助理,iForensics Digital 鑒真數位,協助公司文件之建檔、管理。負責郵件及內部文件之收發。協助處理庶務性行政工作（如：文具用品採買）。負責外出送件、物件寄送及簡易銀行業務處理。負責簡易文件排版打字及簡易美工編輯。負責簡,"['excel', 'powerpoint', 'word']"
活動企劃實習生,視網有限公司,"場的各項執行事務創意發想:參與活動設計與行銷策略討論資料整理與與數據分析:統整活動成效、分析受眾行為
工作方式：
遠距實習,每週至少一次實體會議(將依專案需求調整)
公司網站：<a href=""htt",[]
電訪業務實習生,宋宏森不動產投資顧問有限公司,"工作內容：
針對屋主進行電話開發，高獎金制度，歡迎有衝勁、不怕業績壓力的你來挑戰。電話名冊開發方式會有完整教學。
· 高時薪
· 高獎金，業績達一定目標獎金提升，以成交物件計算
· 教育訓練充足，只",[]
反欺詐/風控實習生,MEXC,協助分析和處理用戶交易中可能存在的欺詐行為利用已有策略和工具，對異常行為進行監控、識別與標記梳理並歸檔欺詐案例，協助沈澱反欺詐規則與策略優化建議根據渠道反饋的拒付案,[]
橘子集團 國際青年交流大使_24331,Gamania 遊戲橘子數位科技股份有限公司,【你的工作內容】- 國際趨勢/時事分享：關注你所屬國家的新聞議題，挖掘現在具熱度的社群、流行素材、ACGN互動趨勢，分享Z、α世代既平凡卻又不凡的日常！- 個人觀點分享：發揮你的整合能力及創意,"['實習', '大使']"
【CMHS0102】電商設備管理專員 Merchant Hardware Services Associate,SHOPLINE 商線科技,維護及管理設備租賃、備用機出借相關事宜，內容包含設備寄出、收回及協助客戶送修設備。商品倉庫管理- 管理倉庫出貨、庫存維繫，與實習生共同維護倉庫運作。流程優化- 負責工作的流程、表單優化,"['行政文書', '客戶教學', 'POS']"
餐廳襄理（40K 以上） 聯合招募場次 < 台北市(全區) >🍟,麥當勞授權發展商_和德昌股份有限公司,"WE ARE HIRING! 全台餐廳襄理 熱情募集中！🍔

麥當勞餐廳襄理募集，加入全球品牌正是時候！
薪資優！實習期間月薪 36 K，正職 40.5K 起，再享績效獎金免經驗！完整培訓課程+肩並肩同儕工作模式，讓你快速",[]
金融特區💰 _ 新鮮人請看 _ 儲備理財專員 _ 7月報到 _ PD,Cake Recruitment Consulting,"性，喜歡從事金融相關工作、對金融趨勢感興趣
💰薪資：40-50K （碩士另計） - 保全年 14 個月、員工認股
⏰ 時間： 8:50-17:30 (週休二日)

【完整實習與歷練】
6個月理專養成計畫，包含櫃台服務面實習1個月及理專","['金融', '理財', '投資', '']"
海外市場運營 Global Marketing Operations (日本 Japan),玩美行動股份有限公司,"..等；- 挖掘日本市場趨勢及用戶使用偏好，跨部門協作，落實本地化行銷運營舉措；- 本地代理商資源拓展及合作溝通 - 管理實習生或外包人員的專案執行進度----------------- (Based in Taiwan)- Develop user-focused, data-driven digital marketing strategies to achieve product objectives;-","['行銷策略擬定', '產品規劃', '產品行銷企劃', '']"
【電商部】品牌行銷企劃,烘焙找材料 / 焙日 / HeyMaster 找課程,焙找材料工作的第三年：https://heybaker.tw/4dNKwcm（同事撰寫）你的北極星是什麼？：https://heybaker.tw/47d58aR（同事撰寫）相同共識，相同方向下，我們一起努力：https://heybaker.tw/3OHKjxd（實習生撰寫）實習心得分享：https://heyba,"['台北市', '台北', '松山區', '']"
海外市場運營 Global Marketing Operations (泰國 Thailand),玩美行動股份有限公司,"用戶使用偏好，跨部門協作，落實本地化行銷運營舉措；- 本地代理商資源拓展及合作溝通 - 管理泰國實習生或外包人員的專案執行進度- 英文能力佳 (額外具備泰語能力優先考慮)----------------- (Based in Taiwan)- Develop user-focused, data-driven","['行銷策略擬定', '產品規劃', '產品行銷企劃', '']"
海外市場運營 Global Marketing Operations (越南 Vietnam),玩美行動股份有限公司,"用戶使用偏好，跨部門協作，落實本地化行銷運營舉措；- 本地代理商資源拓展及合作溝通 - 管理越南實習生或外包人員的專案執行進度- 英文能力佳 (額外具備越語能力優先考慮)----------------- (Based in Taiwan)- Develop user-focused, data-driven","['行銷策略擬定', '產品規劃', '產品行銷企劃', '']"
餐廳襄理（40K 以上）聯合招募場次 < 新北市(全區) >🍟,麥當勞授權發展商_和德昌股份有限公司,"WE ARE HIRING! 全台餐廳襄理 熱情募集中！🍔

麥當勞餐廳襄理募集，加入全球品牌正是時候！
薪資優！實習期間月薪 36 K，正職 40.5K 起，再享績效獎金免經驗！完整培訓課程+肩並肩同儕工作模式，讓你快速",[]
台北知名老牌金融業 招募專員(薪優、福利完善、市中心),Cake Recruitment Consulting,"1. 專責招募業務，職位包括正職、派遣、實習生
2. 協助人事專案企劃
3. 各大招募平台履歷管理以及招募流程優化
4. 人員相關數據分析
5. 人資策略提案",[]
本地運營顧問(韓國) Marketing Consultant (Korea),玩美行動股份有限公司,"與台灣團隊遠端協作，落實本地化行銷運營舉措；- 本地代理商資源拓展及合作溝通 - 協助管理韓國當地人力執行進度 (包含實習生、外包約聘人員等)- 英文能力佳----------------- (Based in Korea)- Operate digital marketing tools, local social media management, KOL/KOC cooperati","['行銷策略擬定', '產品規劃', '產品行銷企劃', '']"
海外市場運營 Global Marketing Operations (韓國 Korea),玩美行動股份有限公司,勢及用戶使用偏好，跨部門協作，落實本地化行銷運營舉措；- 本地代理商資源拓展及合作溝通 - 管理實習生或外包人員的專案執行進度- 中文英文能力佳 (額外具備韓語能力優先考慮)----------------- (Based in Taiwan)- Develop user-focused,"['行銷策略擬定', '產品規劃', '產品行銷企劃', '']"
【日商花王】Programmer,日商 花王(台灣)股份有限公司,"件】
1.熟悉 Microsoft 相關產品 (Windows, Microsoft Office Excel VBA)
2.了解企業之 ERP 流程
3.應屆畢業生具備程式設計相關實習經驗尤佳
【人才特質】
1.邏輯清晰有條理，能快速統整歸納。
2.具備問題分析與解決能力。
3","['ASP.NET', 'C#', 'VBA', '', '']"
海外市場運營 Global Marketing Operations (台港澳),玩美行動股份有限公司,"挖掘台港澳市場趨勢及用戶使用偏好，跨部門協作，落實本地化行銷運營舉措；- 代理商資源拓展及合作溝通 - 管理台灣實習生的專案執行進度- 中文、英文能力佳&nbsp;------------------------- (Based in Taiwan)- Develop user-focused, data-driven digital marketing strategies to achieve product objectives;<","['行銷策略擬定', '產品規劃', '產品行銷企劃', '']"
海外市場運營 Global Marketing Operations (印尼 Indonesia),玩美行動股份有限公司,用戶使用偏好，跨部門協作，落實本地化行銷運營舉措；- 本地代理商資源拓展及合作溝通 - 管理印尼實習生或外包人員的專案執行進度- 中文、英文能力佳 (額外具備印尼文能力優先考慮)------------------------- (Based in Taiwan)- Develop user,"['行銷策略擬定', '產品規劃', '產品行銷企劃', '']"
【定期人員】美術設計,鈊象電子股份有限公司,"1.2D設定
2.UI排版
3.基本手繪（此為約聘職缺，亦可接受實習與工讀）","['UI', 'UI/UXDesign', '2D Illustration & Painting']"
"NLP & Data Engineering intern (Python,PHP, SQL)",零一成長行銷有限公司,力，歡迎你主動提出想法你可以與創辦人或PM一起提升專案的高度與極限！參加過我們戰鬥營及實習計畫的同學，有錄取dcard、綠藤生機、嬌生、L’oreal等知名公司及國外知名研究所，只要你敢夢也有行,"['Application Development', 'Github', 'python']"
2026 年輕銀行家培育計畫 | HSBC Graduate Programme (2025/11/5 投遞截止),HSBC,"領域職涯發展所需的專業知識與個人技能量身打造。本次計畫包含 Graduate Programme 及 Internship Programme，提供正職及暑期實習機會，熱烈歡迎有志想在真正的國際性銀行發展的你/妳加入！
加入滙豐年輕銀行家培育計",[]
Product Design Intern,鑫享科技有限公司,"[✨招募中][務必提供UIUX相關線上作品集] 👶你將在3-6個月的實習計畫內，由資深設計師指導與陪伴，參與產品設計迭代，設計系統與文件維護，用戶研究與分析，同時也會與PM, 前後端工程師等跨",['Figma']
Project Manager Intern,豈止數位設計有限公司,徵求實習軟體專案經理，常在台北的每個小角落 cafe surfing 的請進,"['專案管理', 'Project Manager', 'PM']"
2026年輕銀行家培育計畫 | HSBC Internship Programme (2025/11/5 投遞截止),HSBC,"領域職涯發展所需的專業知識與個人技能量身打造。本次計畫包含 Graduate Programme 及 Internship Programme，提供正職及暑期實習機會，熱烈歡迎有志想在真正的國際性銀行發展的你/妳加入！
加入滙豐年輕銀行家培育計",[]
★ 商品採購儲幹培訓計畫（歡迎應屆畢業生）★,大樹醫藥股份有限公司,活動之商品規劃2.代理主管(1) 學習新品尋找、比價、議價(2) 學習供應商的合約規畫及談判3.實習課長(1)學習門市台帳陳列規劃、品類管理(2)商品銷售與營業銷售數據資料彙整、分析與提案,[]
剪輯師,山海視覺製作工作室,"📍 台中市北區
初期可遠端工作，後續可視合作狀況調整工作模式。

💼 經驗要求
1.設計相關實務經驗 2 年以上為佳
2.若目前尚無正式經驗，亦歡迎申請 設計實習，實習期滿後可評估轉正。
</p","['Premiere', 'Photoshop', 'Illustrator', '']"
平面設計師,山海視覺製作工作室,"【誠徵設計師｜正職 / 約聘 / 實習轉正】台中店
我們正在尋找一位 具備美感與執行力的設計夥伴，一起打造更多好作品。
如果你對設計充滿熱情，喜歡學習新事物，也享受與團隊一起合作，歡迎加入","['Photoshop', 'Notion', 'Illustrator', '']"
2025 暑期多媒體影音工讀生,騰戎整合行銷有限公司,"實習生者需自備電腦。

＊申請方式：
將個人履歷寄至聯繫信箱 [email protected]，請於信件主旨標明：申請2024實習生，並附上作品集及履歷資訊，另在信件中可寫出想在實習期間學到哪些內容，合適人選我們",[]
2025 Micron Summer Internship Program,Micron Technology,"奠定基礎。
  
【為什麼要加入我們】
實習專案/導師制度：每位實習生將進行為期2個月的專業/專案實習，部門指派Mentor做為實習生的專屬導師，除了教導與協助專業問題外，更為實習生提供職涯發展",['']
餐廳襄理（40K 以上）聯合招募場次 < 新竹縣市(全區) >🍟,麥當勞授權發展商_和德昌股份有限公司,"WE ARE HIRING! 全台餐廳襄理 熱情募集中！🍔

麥當勞餐廳襄理募集，加入全球品牌正是時候！
薪資優！實習期間月薪 36 K，正職 40.5K 起，再享績效獎金免經驗！完整培訓課程+肩並肩同儕工作模式，讓你快速",[]
國泰金控儲備幹部 2025 GMA 金融策略家（3/31 投遞截止）,Cathay Financial Holdings 國泰金控,有機會輪調集團重要企劃單位，跨足商品、客戶、通路、行銷等專業領域，並歷練業務前台實務與海外實習，同時提供跨集團 (金控、銀行、人壽、產險、證券等) 全方位的金融培訓，致力培養具有策略高度及跨,['儲備幹部職缺專區']
Assembly & Test Engineering Intern,美商布雷利昂股份有限公司台灣分公司,"內容】
1. AR/VR 相關硬體製造流程組裝 &品質測試
2. 模組與產品維護
3. 其他主管交辦事項
 【實習地點與時間】
1. 彈性上班：09:30～10:00 上班；17:00 下班（含吃飯時間）
2. 實習地點：Brelyon台灣辦公室","['Communication', 'Excel']"
全球關係專員（國際人才培育計畫）,國立臺灣大學國際事務處,"案工作：
國際引路人計畫 - 僑外生暑期實習機構開發、規劃及執行國際引水人計畫 - 臺大生海外暑期實習機構開發、規劃及執行國際NGO人才學校 - 臺大生國際NGO實習機構開發、規劃及執行其他臨時交",['']
教育設計_專案企劃經理 Project Manager - Planning & Execution,社團法人美感細胞協會,"製作設計
●行銷策略擬定、資料搜集分析、社群經營
● 與出版單位、作者/編輯、設計師/插畫家等統籌溝通
● 社群經營與美感教育議題推動● 帶領實習夥伴執行教育設計專案與社群相關工作",[]
餐廳襄理（40K 以上）聯合招募場次 < 台中市(全區) >🍟,麥當勞授權發展商_和德昌股份有限公司,"WE ARE HIRING! 全台餐廳襄理 熱情募集中！🍔

麥當勞餐廳襄理募集，加入全球品牌正是時候！
薪資優！實習期間月薪 36 K，正職 40.5K 起，再享績效獎金免經驗！完整培訓課程+肩並肩同儕工作模式，讓你快速",[]
🎌影像科技產品｜日本市場運營🎌 - LT,Cake Recruitment Consulting,"體資源（社群內容、KOL/KOC 合作、異業推廣）


分析當地趨勢與用戶偏好，策劃具吸引力的活動與內容


與總部產品、設計、數據、投放等部門協作落地執行


協助管理外包或實習人員，確保任務進度與品質


<b","['跨部門協作', '用戶增長', '日本市場', '']"
約聘-印尼市場運營助理 Contract Marketing Assistant – Indonesia,玩美行動股份有限公司,作，確保視覺內容符合app調性與用戶審美，希望你對美感視覺溝通，具敏銳度與判斷力。3、團隊協同與實習生管理支援：與該市場運營實習生密切合作，統籌實習生的任務安排、目標對齊、追蹤及回饋，,"['Word', 'PowerPoint', 'Photoshop', '', '']"
日系金融公司_人力資源資深專員（績效為主）,Cake Recruitment Consulting,"外語與專業證照獎勵、核保理賠專業課程補助&nbsp;
● 國外高發展：定期派員前往各國海外研修與職場實習，範圍擴及日、英、德、新加坡……等集團據點&nbsp;
● 專屬好夥伴：新人配置專屬Buddy夥伴，資深同仁專業領航","['績效評估', '人資', '人力資源', '', '']"
約聘-越南市場運營助理 Contract Marketing Assistant – Vietnam,玩美行動股份有限公司,確保視覺內容符合app調性與用戶審美，希望你對美感視覺溝通，具敏銳度與判斷力。3、團隊協同與實習生管理支援：與該市場運營實習生密切合作，統籌實習生的任務安排、目標對齊、追蹤及回饋，提,"['Word', 'PowerPoint', 'Photoshop', '', '']"
金融特區💰_ 日商金融服務_疫後唯一肯定_Talent Acquisition（人才招募）-PD,Cake Recruitment Consulting,主要負責招募業務(正職、派遣、實習生）招募流程優化協助人事專案企劃人員數據分析及人資策略提案其他主管交辦事項,"['Talent Acquisition', 'Recruitment', 'Recruiting', '']"
行銷專案執行 Account Executive,Influenxio 圈圈科技有限公司,"析數據、提出網紅合作案優化建議
   *財務流程

2. 控管網紅產出之內容與品質
3. 擔任與客戶聯繫、溝通之主要窗口
4. 指導實習生並且合作完成任務
5. 專案財務流程
6. 案例整理與分析","['account executive', 'excel', 'powerpoint', '']"
約聘-泰國市場運營助理 Contract Marketing Assistant – Thailand,玩美行動股份有限公司,確保視覺內容符合app調性與用戶審美，希望你對美感視覺溝通，具敏銳度與判斷力。3、團隊協同與實習生管理支援：與該市場運營實習生密切合作，統籌實習生的任務安排、目標對齊、追蹤及回饋，提,"['Word', 'PowerPoint', 'Photoshop', '', '']"
約聘-韓國市場運營助理 Contract Marketing Assistant – Korea,玩美行動股份有限公司,確保視覺內容符合app調性與用戶審美，希望你對美感視覺溝通，具敏銳度與判斷力。3、團隊協同與實習生管理支援：與該市場運營實習生密切合作，統籌實習生的任務安排、目標對齊、追蹤及回饋，提,"['Word', 'PowerPoint', 'Photoshop', '', '']"
軟體工程師,永豐金證券股份有限公司,【2024資訊人才提前就業實習計畫】透過此計畫，引領你將學習轉化為實作，幫助你提前認識職場環境，為進入職場暖身。#實習有機會轉正#畢業即就業1.實習職缺：軟體工程師(台北)2.實習內,[]
人資人員(總公司),新光三越百貨股份有限公司,雇主品牌，提升公司的吸引力。5.協助執行校園徵才活動，與學校端建立聯繫，吸引應屆畢業生或實習生加入公司。【員工關係及專案管理（30%）】1.設計並執行各類員工關係活動（如尾牙、ESG活動等），促,[]
【台北】職涯規劃顧問_內勤業務(保障底薪!高獎金!免陌生開發!),科技學股份有限公司,"西門/台北車站/忠孝新生 走路馬上到，通勤超方便 ⭐
【新計畫 - 成立 X Platform 職能共學平台】
提供企業實習體驗計畫， 讓學生與企業能夠無縫接軌，讓學生能夠在校期間獲得實習機會，累積工作經驗，為","['銷售技巧', '業務開發', '']"
【工程部】資料輸入人員 key-in intern｜法人,CMoney全曜財經資訊股份有限公司,件檔案比對審核可接受長時間面對電腦進行工作溝通調整工作想法和心態 學習工作所需技能＊實習/工讀到班：每週至少4天以上（8:30~18:00），且至少到班1年＊＊Line社群【CMoney全曜_實習生人力庫中心,[]
宇宙動能新創擴大招募人才庫,宇宙動能新創股份有限公司,行銷，致力於打造品牌與創作者之間最強的連結不論您正處於職涯的哪個階段—求職、轉職、尋找實習機會，或單純對我們感興趣，都歡迎加入樂倍思特專屬人才庫。未來如有適合的職缺、合作或實習,['小紅書']
約聘-日本市場運營助理 Contract Marketing Assistant – Japan,玩美行動股份有限公司,確保視覺內容符合app調性與用戶審美，希望你對美感視覺溝通，具敏銳度與判斷力。3、團隊協同與實習生管理支援：與該市場運營實習生密切合作，統籌實習生的任務安排、目標對齊、追蹤及回饋，提,"['Word', 'PowerPoint', 'Photoshop', '', '']"
品牌行銷副理（週四、週五遠端辦公）,圍棋人科技股份有限公司,下廣告素材規劃【加分條件】*基本英語能力(TOEIC 500以上)或日語能力(N3)*喜愛網路社群、具有基本自媒體經營sense*有網路平台工作 or 實習經驗*朋友眼中的文案王、具備優秀文字能力*具備剪輯或製圖能力,[]
金色三麥酒窖店-【調酒吧檯師 Bartender】#月薪5萬#月休8-10天_Dream Plaza,金色三麥餐飲股份有限公司,"備相關調酒經驗兩年以上優先安排面試.(具備調酒相關證照者為佳)#高薪給：$50,000~$60,000 *到職日需自備[一年效期供膳體檢表]*說明:原店址重新裝修中，經面試錄取後將安排大台北地區地點實習",[]
招募與員工關係專員(總公司),新光三越百貨股份有限公司,雇主品牌，提升公司的吸引力。5. 協助執行校園徵才活動，與學校端建立聯繫，吸引應屆畢業生或實習生加入公司。【員工關係及專案管理（40%）】1. 設計並執行各類員工關係活動（如尾牙、ESG活動等），促,[]
金色三麥酒窖店-【餐服專員】#一頭班#月薪4萬#月休8-10天Dream Plaza,金色三麥餐飲股份有限公司,/全餐飲事業群春酒#高薪給：全薪$40000+全勤獎金$1500+月達成獎金+突破業績獎金*到職日需自備[一年效期供膳體檢表]*說明:原店址重新裝修中，經面試錄取後將安排大台北地區地點實習訓練。,[]
Q BURGER(高雄不分區)早餐儲備店經理 41-50K【3周即享3天特休、雙週發薪、高額分潤獎金】,Q Burger(直營總公司)_饗樂餐飲實業股份有限公司,圍超友善：同事好聊、工作互助，讓你上班像在交朋友➤【職涯晉升路徑】正職門市夥伴 → 襄理（2-4個月）→ 實習店經理 → 店經理 → 營運主管（最短一年）➤【我們正在找的你】對餐飲服務有熱情，喜歡與人互動希望,[]
Q BURGER(台中嶺東店)加入 Q Burger，一起打造平衡生活：免輪班＋雙週發薪＋休假多,Q Burger(直營總公司)_饗樂餐飲實業股份有限公司,圍超友善：同事好聊、工作互助，讓你上班像在交朋友➤【職涯晉升路徑】正職門市夥伴 → 襄理（2-4個月）→ 實習店經理 → 店經理 → 營運主管（最短一年）➤【我們正在找的你】對餐飲服務有熱情，喜歡與人互動希望,[]
Q BURGER(大里仁化店)加入 Q Burger，一起打造平衡生活：免輪班＋雙週發薪＋休假多,Q Burger(直營總公司)_饗樂餐飲實業股份有限公司,圍超友善：同事好聊、工作互助，讓你上班像在交朋友➤【職涯晉升路徑】正職門市夥伴 → 襄理（2-4個月）→ 實習店經理 → 店經理 → 營運主管（最短一年）➤【我們正在找的你】對餐飲服務有熱情，喜歡與人互動希望,[]
Q BURGER(八德中華店)加入 Q Burger，一起打造平衡生活：免輪班＋雙週發薪＋休假多,Q Burger(直營總公司)_饗樂餐飲實業股份有限公司,圍超友善：同事好聊、工作互助，讓你上班像在交朋友➤【職涯晉升路徑】正職門市夥伴 → 襄理（2-4個月）→ 實習店經理 → 店經理 → 營運主管（最短一年）➤【我們正在找的你】對餐飲服務有熱情，喜歡與人互動希望,[]
Q BURGER(台中市西屯區)加入 Q Burger，一起打造平衡生活：免輪班＋雙週發薪＋休假多,Q Burger(直營總公司)_饗樂餐飲實業股份有限公司,圍超友善：同事好聊、工作互助，讓你上班像在交朋友➤【職涯晉升路徑】正職門市夥伴 → 襄理（2-4個月）→ 實習店經理 → 店經理 → 營運主管（最短一年）➤【我們正在找的你】對餐飲服務有熱情，喜歡與人互動希望,[]
Q BURGER(新北市新莊區)加入 Q Burger，一起打造平衡生活：免輪班＋雙週發薪＋休假多,Q Burger(直營總公司)_饗樂餐飲實業股份有限公司,圍超友善：同事好聊、工作互助，讓你上班像在交朋友➤【職涯晉升路徑】正職門市夥伴 → 襄理（2-4個月）→ 實習店經理 → 店經理 → 營運主管（最短一年）➤【我們正在找的你】對餐飲服務有熱情，喜歡與人互動希望,[]
Q BURGER(彰化不分區)早午餐儲備店經理 41-50K【3周即享3天特休、雙週發薪、高額分潤獎金】,Q Burger(直營總公司)_饗樂餐飲實業股份有限公司,圍超友善：同事好聊、工作互助，讓你上班像在交朋友➤【職涯晉升路徑】正職門市夥伴 → 襄理（2-4個月）→ 實習店經理 → 店經理 → 營運主管（最短一年）➤【我們正在找的你】對餐飲服務有熱情，喜歡與人互動希望,[]
Q BURGER(新北市中和區)加入 Q Burger，一起打造平衡生活：免輪班＋雙週發薪＋休假多,Q Burger(直營總公司)_饗樂餐飲實業股份有限公司,圍超友善：同事好聊、工作互助，讓你上班像在交朋友➤【職涯晉升路徑】正職門市夥伴 → 襄理（2-4個月）→ 實習店經理 → 店經理 → 營運主管（最短一年）➤【我們正在找的你】對餐飲服務有熱情，喜歡與人互動希望,[]
Q BURGER(北屯松竹店)加入 Q Burger，一起打造平衡生活：免輪班＋雙週發薪＋休假多,Q Burger(直營總公司)_饗樂餐飲實業股份有限公司,圍超友善：同事好聊、工作互助，讓你上班像在交朋友➤【職涯晉升路徑】正職門市夥伴 → 襄理（2-4個月）→ 實習店經理 → 店經理 → 營運主管（最短一年）➤【我們正在找的你】對餐飲服務有熱情，喜歡與人互動希望,[]
Q BURGER(高雄吉林店)加入 Q Burger，一起打造平衡生活：免輪班＋雙週發薪＋休假多,Q Burger(直營總公司)_饗樂餐飲實業股份有限公司,圍超友善：同事好聊、工作互助，讓你上班像在交朋友➤【職涯晉升路徑】正職門市夥伴 → 襄理（2-4個月）→ 實習店經理 → 店經理 → 營運主管（最短一年）➤【我們正在找的你】對餐飲服務有熱情，喜歡與人互動希望,[]
Q BURGER(高雄德山店)加入 Q Burger，一起打造平衡生活：免輪班＋雙週發薪＋休假多,Q Burger(直營總公司)_饗樂餐飲實業股份有限公司,圍超友善：同事好聊、工作互助，讓你上班像在交朋友➤【職涯晉升路徑】正職門市夥伴 → 襄理（2-4個月）→ 實習店經理 → 店經理 → 營運主管（最短一年）➤【我們正在找的你】對餐飲服務有熱情，喜歡與人互動希望,[]
